"","probability","condition","step","language"
"1",0.02,"acceptable_mono_refl",1,"pol"
"2",0.048,"acceptable_mono_refl",2,"pol"
"3",0.047,"acceptable_mono_refl",3,"pol"
"4",0.12,"acceptable_mono_refl",4,"pol"
"5",0.764,"acceptable_mono_refl",5,"pol"
"11",0.03,"acceptable_di_refl",1,"pol"
"21",0.068,"acceptable_di_refl",2,"pol"
"31",0.064,"acceptable_di_refl",3,"pol"
"41",0.15,"acceptable_di_refl",4,"pol"
"51",0.689,"acceptable_di_refl",5,"pol"
"12",0.141,"unacceptable_mono_poss",1,"pol"
"22",0.226,"unacceptable_mono_poss",2,"pol"
"32",0.141,"unacceptable_mono_poss",3,"pol"
"42",0.2,"unacceptable_mono_poss",4,"pol"
"52",0.291,"unacceptable_mono_poss",5,"pol"
"13",0.134,"unacceptable_di_poss",1,"pol"
"23",0.219,"unacceptable_di_poss",2,"pol"
"33",0.14,"unacceptable_di_poss",3,"pol"
"43",0.203,"unacceptable_di_poss",4,"pol"
"53",0.305,"unacceptable_di_poss",5,"pol"
